Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
New businesses registered (number),IC.BUS.NREG,Mauritius,MUS,..,..,6817,6353,7091,7845,8851,8757,8285,6316,6312,..
New businesses registered (number),IC.BUS.NREG,Mexico,MEX,..,..,31028,42562,43617,46174,45256,82948,83903,84320,68114,..
New businesses registered (number),IC.BUS.NREG,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,25,..,..,..
New businesses registered (number),IC.BUS.NREG,Moldova,MDA,..,..,..,..,4460,4538,4444,5140,4801,..,..,..
New businesses registered (number),IC.BUS.NREG,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Mongolia,MNG,..,..,11255,12804,12930,11035,10009,12322,11524,12455,12532,..
New businesses registered (number),IC.BUS.NREG,Montenegro,MNE,..,..,2491,2900,3080,3013,2818,3182,4694,4131,3270,..
New businesses registered (number),IC.BUS.NREG,Morocco,MAR,..,..,32951,33278,34766,35840,39030,40088,45399,49909,54250,..
New businesses registered (number),IC.BUS.NREG,Mozambique,MOZ,..,..,..,..,2595,3168,3607,3554,3300,4699,3925,..
New businesses registered (number),IC.BUS.NREG,Myanmar,MMR,..,..,3078,4076,4521,4765,6663,7558,14051,..,..,..
New businesses registered (number),IC.BUS.NREG,Namibia,NAM,..,..,1050,1044,1112,1226,1409,1140,2850,1155,852,..
New businesses registered (number),IC.BUS.NREG,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Nepal,NPL,..,..,10456,9359,11971,12446,17222,19268,24088,18085,25859,..
New businesses registered (number),IC.BUS.NREG,Netherlands,NLD,..,..,..,..,..,..,31509,31981,33084,33284,34777,..
New businesses registered (number),IC.BUS.NREG,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,New Zealand,NZL,..,..,43860,45419,48904,52337,58130,57917,56380,53098,58375,..
New businesses registered (number),IC.BUS.NREG,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Niger,NER,..,..,..,..,..,..,762,759,931,..,..,..
New businesses registered (number),IC.BUS.NREG,Nigeria,NGA,..,..,81144,74391,71941,70441,75380,78540,86309,90748,97988,..
New businesses registered (number),IC.BUS.NREG,North Macedonia,MKD,..,..,5394,5453,5524,5794,5687,5438,5282,5688,4985,..
New businesses registered (number),IC.BUS.NREG,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Norway,NOR,..,..,25614,26295,25885,26706,27918,29890,29959,30263,33128,..
New businesses registered (number),IC.BUS.NREG,Oman,OMN,..,..,5091,4481,3538,6716,7666,5807,5425,6503,5804,..
New businesses registered (number),IC.BUS.NREG,Pakistan,PAK,..,..,3928,3937,4680,5385,6716,9624,12991,15958,19791,..
New businesses registered (number),IC.BUS.NREG,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Panama,PAN,..,..,..,30203,29488,26387,22953,18068,15416,16177,11833,..
New businesses registered (number),IC.BUS.NREG,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Paraguay,PRY,..,..,..,..,..,..,..,..,..,1018,226,..
New businesses registered (number),IC.BUS.NREG,Peru,PER,..,..,75210,74742,74488,79531,75835,79513,79798,88782,83351,..
New businesses registered (number),IC.BUS.NREG,Philippines,PHL,..,..,18515,20231,21066,21453,22412,24379,20092,21835,15161,..
New businesses registered (number),IC.BUS.NREG,Poland,POL,..,..,24753,29891,30155,40224,43523,38903,36879,40248,41143,..
New businesses registered (number),IC.BUS.NREG,Portugal,PRT,..,..,27803,32081,31860,34120,33651,37571,43114,46880,36076,..
New businesses registered (number),IC.BUS.NREG,Puerto Rico,PRI,..,..,..,..,..,4811,5564,5793,8477,10352,11218,..
New businesses registered (number),IC.BUS.NREG,Qatar,QAT,..,..,5784,5986,7196,5619,11535,14082,14824,..,..,..
New businesses registered (number),IC.BUS.NREG,Romania,ROU,..,..,61542,60292,56381,64417,73889,98405,94244,94869,78419,..
New businesses registered (number),IC.BUS.NREG,Russian Federation,RUS,..,..,397952,398782,427388,456046,433464,390299,317475,281834,214895,..
New businesses registered (number),IC.BUS.NREG,Rwanda,RWA,..,..,8511,9291,9998,9887,10099,10005,10547,12552,16105,..
New businesses registered (number),IC.BUS.NREG,Samoa,WSM,..,..,88,95,117,129,110,138,126,125,82,..
New businesses registered (number),IC.BUS.NREG,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Sao Tome and Principe,STP,..,..,..,292,316,315,360,298,266,264,268,..
New businesses registered (number),IC.BUS.NREG,Saudi Arabia,SAU,..,..,8461,8942,9995,11046,10598,10903,12116,17367,15920,..
New businesses registered (number),IC.BUS.NREG,Senegal,SEN,..,..,1945,2116,2359,3258,3420,3715,4004,4285,4284,..
New businesses registered (number),IC.BUS.NREG,Serbia,SRB,..,..,8505,8558,8081,7929,8288,8671,8671,9034,9030,..
New businesses registered (number),IC.BUS.NREG,Seychelles,SYC,..,..,165,124,111,142,111,102,167,157,109,..
New businesses registered (number),IC.BUS.NREG,Sierra Leone,SLE,..,..,1069,1046,682,986,1082,1233,1980,..,..,..
New businesses registered (number),IC.BUS.NREG,Singapore,SGP,..,..,31531,34766,38306,34076,35020,37172,43050,43762,42217,..
New businesses registered (number),IC.BUS.NREG,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Slovak Republic,SVK,..,..,19950,26749,12884,12445,18072,19813,19723,20566,18969,..
New businesses registered (number),IC.BUS.NREG,Slovenia,SVN,..,..,6177,6107,6243,5478,4239,4512,4118,3911,3265,..
New businesses registered (number),IC.BUS.NREG,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,South Africa,ZAF,..,..,220910,239596,235602,315677,376727,..,..,409536,486900,..
New businesses registered (number),IC.BUS.NREG,South Sudan,SSD,..,..,4430,3627,1961,759,1765,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Spain,ESP,..,..,84399,90373,91544,91750,98824,92613,93560,92010,77541,..
New businesses registered (number),IC.BUS.NREG,Sri Lanka,LKA,..,..,6975,5788,6674,7583,8060,9474,10510,..,..,..
New businesses registered (number),IC.BUS.NREG,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,St. Lucia,LCA,..,..,379,237,307,367,332,322,350,308,244,..
New businesses registered (number),IC.BUS.NREG,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,St. Vincent and the Grenadines,VCT,..,..,127,133,125,119,118,175,414,284,323,..
New businesses registered (number),IC.BUS.NREG,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Suriname,SUR,..,..,583,592,495,412,523,860,890,946,892,..
New businesses registered (number),IC.BUS.NREG,Sweden,SWE,..,..,39262,39137,42068,45568,49751,48543,45590,46377,57682,..
New businesses registered (number),IC.BUS.NREG,Switzerland,CHE,..,..,23608,24601,25085,24244,24135,25790,25637,26347,..,..
New businesses registered (number),IC.BUS.NREG,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Tajikistan,TJK,..,..,1272,5555,1514,1218,984,793,831,..,..,..
New businesses registered (number),IC.BUS.NREG,Tanzania,TZA,..,..,8126,8662,8768,8890,8326,6504,5276,..,..,..
New businesses registered (number),IC.BUS.NREG,Thailand,THA,..,..,40900,44482,43589,44809,48907,55525,72109,71485,63340,..
New businesses registered (number),IC.BUS.NREG,Timor-Leste,TLS,..,..,1686,3571,2889,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Togo,TGO,..,..,723,737,1082,1704,1660,1767,2587,3393,4410,..
New businesses registered (number),IC.BUS.NREG,Tonga,TON,..,..,115,112,65,71,49,27,32,42,45,..
New businesses registered (number),IC.BUS.NREG,Trinidad and Tobago,TTO,..,..,3446,4334,4682,5165,4341,3877,4115,4511,4344,..
